fecha_partido,equipo_local,equipo_visitante,goles_local,goles_visitante,posesion_local (%),posesion_visitante (%),tiros_arco_local,tiros_arco_visitante,estadio
2024-05-12,NumPy City,Data United,4,1,43,57,4,5,Python Arena
2024-05-19,Data United,NumPy City,0,4,52,48,10,11,Campo Pandas
2024-05-26,Atlético Python,Data United,1,3,41,59,4,6,Python Arena
2024-06-02,NumPy City,Data United,5,5,48,52,11,11,Campo Pandas
2024-06-09,Atlético Python,NumPy City,2,1,52,48,10,5,Estadio DataCamp
2024-06-16,Real Pandas,NumPy City,4,5,43,57,7,12,Estadio ML
2024-06-23,Data United,Atlético Python,3,2,52,48,10,6,Estadio DataCamp
2024-06-30,Atlético Python,NumPy City,5,5,58,42,4,8,Estadio ML
2024-07-07,Data United,NumPy City,4,1,52,48,7,3,Campo Pandas
2024-07-14,Cebollitas FC,Data United,3,2,49,51,5,9,Estadio DataCamp
2024-07-21,NumPy City,Cebollitas FC,5,3,59,41,11,4,Estadio DataCamp
2024-07-28,Real Pandas,Atlético Python,3,2,42,58,9,7,Estadio DataCamp
2024-08-04,Real Pandas,Cebollitas FC,3,0,47,53,3,4,Estadio DataCamp
2024-08-11,NumPy City,Atlético Python,3,3,60,40,7,6,Python Arena
2024-08-18,Cebollitas FC,NumPy City,2,0,42,58,4,12,Estadio DataCamp
2024-08-25,Atlético Python,Data United,4,0,49,51,12,10,Estadio DataCamp
2024-09-01,Data United,NumPy City,3,4,51,49,10,12,Estadio DataCamp
2024-09-08,Cebollitas FC,Data United,0,2,54,46,9,6,Python Arena
2024-09-15,Cebollitas FC,Real Pandas,4,4,41,59,5,12,Campo Pandas
2024-09-22,Cebollitas FC,Atlético Python,0,2,54,46,10,9,Python Arena
2024-09-29,Cebollitas FC,Data United,5,0,56,44,4,8,Python Arena
2024-10-06,Atlético Python,NumPy City,2,5,51,49,8,4,Python Arena
2024-10-13,Data United,Atlético Python,5,5,49,51,7,10,Campo Pandas
2024-10-20,Cebollitas FC,Data United,3,3,46,54,5,12,Python Arena
2024-10-27,Data United,Cebollitas FC,4,2,52,48,11,5,Estadio DataCamp
2024-11-03,Atlético Python,Data United,4,4,56,44,4,6,Campo Pandas
2024-11-10,Atlético Python,Data United,5,0,58,42,4,9,Estadio DataCamp
2024-11-17,Cebollitas FC,Atlético Python,2,3,58,42,9,9,Campo Pandas
2024-11-24,NumPy City,Cebollitas FC,2,3,46,54,6,5,Campo Pandas
